+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                       ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                   ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; mm_interconnect_0|cpu2_data_master_translator                                                                                                               ; 103   ; 12             ; 2            ; 12             ; 96     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|cpu1_data_master_translator                                                                                                               ; 103   ; 12             ; 2            ; 12             ; 96     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|cpu0_instruction_master_translator                                                                                                        ; 103   ; 51             ; 2            ; 51             ; 96     ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0|cpu0_data_master_translator                                                                                                               ; 103   ; 12             ; 2            ; 12             ; 96     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mm_interconnect_0                                                                                                                                           ; 478   ; 0              ; 0            ; 0              ; 519    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram|the_altsyncram|auto_generated|mux2                                                                                                                     ; 259   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram|the_altsyncram|auto_generated|decode3                                                                                                                  ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram|the_altsyncram|auto_generated                                                                                                                          ; 55    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram                                                                                                                                                        ; 59    ; 1              ; 1            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                  ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                 ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                  ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                              ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo                                                                                         ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_r|rfifo|auto_generated                                                                                                ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_r                                                                                                                     ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                  ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                 ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                  ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                              ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo                                                                                         ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_w|wfifo|auto_generated                                                                                                ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug|the_SEProjetoFinal_DEBUG_scfifo_w                                                                                                                     ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; debug                                                                                                                                                       ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_debug_slave_wrapper|the_SEProjetoFinal_CPU3_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_debug_slave_wrapper|the_SEProjetoFinal_CPU3_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_debug_slave_wrapper                                                              ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_ocimem|SEProjetoFinal_CPU3_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_ocimem|SEProjetoFinal_CPU3_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_ocimem                                                                     ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_avalon_reg                                                                 ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_im                                                                     ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_pib                                                                    ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_fifo|the_SEProjetoFinal_CPU3_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_fifo|the_SEProjetoFinal_CPU3_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_fifo|the_SEProjetoFinal_CPU3_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_fifo                                                                   ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_dtrace|SEProjetoFinal_CPU3_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_dtrace                                                                 ; 104   ; 0              ; 93           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_itrace                                                                 ; 95    ; 53             ; 95           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_dbrk                                                                   ; 90    ; 0              ; 0            ; 0              ; 93     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_xbrk                                                                   ; 57    ; 0              ; 52           ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_break                                                                  ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci|the_SEProjetoFinal_CPU3_cpu_nios2_oci_debug                                                                  ; 50    ; 1              ; 30           ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_nios2_oci                                                                                                              ; 229   ; 0              ; 0            ; 0              ; 70     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_nios2_rtl                                                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_dc_victim|the_altsyncram|auto_generated                                                                                    ; 41    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_dc_victim                                                                                                                  ; 41    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_dc_data|the_altsyncram|auto_generated                                                                                      ; 56    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_dc_data                                                                                                                    ; 56    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_dc_tag|the_altsyncram|auto_generated                                                                                       ; 24    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_dc_tag                                                                                                                     ; 24    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_mult_cell|the_altmult_add_p3|auto_generated                                                                            ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_mult_cell|the_altmult_add_p2|auto_generated                                                                            ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_mult_cell|the_altmult_add_p1|auto_generated                                                                            ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_mult_cell                                                                                                              ; 67    ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_register_bank_b|the_altsyncram|auto_generated                                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_register_bank_b                                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_register_bank_a|the_altsyncram|auto_generated                                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_register_bank_a                                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_bht|the_altsyncram|auto_generated                                                                                          ; 21    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_bht                                                                                                                        ; 21    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_ic_tag|the_altsyncram|auto_generated                                                                                       ; 32    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_ic_tag                                                                                                                     ; 32    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_ic_data|the_altsyncram|auto_generated                                                                                      ; 55    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|SEProjetoFinal_CPU3_cpu_ic_data                                                                                                                    ; 55    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu|the_SEProjetoFinal_CPU3_cpu_test_bench                                                                                                             ; 509   ; 30             ; 436          ; 30             ; 45     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3|cpu                                                                                                                                                    ; 151   ; 1              ; 32           ; 1              ; 113    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu3                                                                                                                                                        ; 151   ; 0              ; 0            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_debug_slave_wrapper|the_SEProjetoFinal_CPU2_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_debug_slave_wrapper|the_SEProjetoFinal_CPU2_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_debug_slave_wrapper                                                              ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_ocimem|SEProjetoFinal_CPU2_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_ocimem|SEProjetoFinal_CPU2_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_ocimem                                                                     ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_avalon_reg                                                                 ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_im                                                                     ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_pib                                                                    ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_fifo|the_SEProjetoFinal_CPU2_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_fifo|the_SEProjetoFinal_CPU2_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_fifo|the_SEProjetoFinal_CPU2_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_fifo                                                                   ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_dtrace|SEProjetoFinal_CPU2_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_dtrace                                                                 ; 104   ; 0              ; 93           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_itrace                                                                 ; 95    ; 53             ; 95           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_dbrk                                                                   ; 90    ; 0              ; 0            ; 0              ; 93     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_xbrk                                                                   ; 57    ; 0              ; 52           ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_break                                                                  ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci|the_SEProjetoFinal_CPU2_cpu_nios2_oci_debug                                                                  ; 50    ; 1              ; 30           ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_nios2_oci                                                                                                              ; 229   ; 0              ; 0            ; 0              ; 70     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_nios2_rtl                                                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|SEProjetoFinal_CPU2_cpu_dc_victim|the_altsyncram|auto_generated                                                                                    ; 41    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|SEProjetoFinal_CPU2_cpu_dc_victim                                                                                                                  ; 41    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|SEProjetoFinal_CPU2_cpu_dc_data|the_altsyncram|auto_generated                                                                                      ; 56    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|SEProjetoFinal_CPU2_cpu_dc_data                                                                                                                    ; 56    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|SEProjetoFinal_CPU2_cpu_dc_tag|the_altsyncram|auto_generated                                                                                       ; 24    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|SEProjetoFinal_CPU2_cpu_dc_tag                                                                                                                     ; 24    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_mult_cell|the_altmult_add_p3|auto_generated                                                                            ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_mult_cell|the_altmult_add_p2|auto_generated                                                                            ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_mult_cell|the_altmult_add_p1|auto_generated                                                                            ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|the_SEProjetoFinal_CPU2_cpu_mult_cell                                                                                                              ; 67    ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|SEProjetoFinal_CPU2_cpu_register_bank_b|the_altsyncram|auto_generated                                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu2|cpu|SEProjetoFinal_CPU2_cpu_register_bank_b                                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
